107	2253
107	2253
国道	110
455	31
号	430400
新联	100
盛	103
塑胶	15
宿舍	12350
212	748
中国邮政	3
103	7121
302	7173
408	1369
边	136
339	301
号吉美	4
和	3127
商务中心	734
1305	352
226	221
613	362
913	103
瓜子	4
田	213
第二	792
栋	198870
411	554
422	161
425	123
516	265
机场	311
路口	193
大楼	1260
2	47360
207	2194
309	890
503	5001
602	5599
606	2007
912	161
铁皮	658
房	1190
101	12179
国	20
道旁	20
综合楼	4730
-	31494
6	18089
加成	4
机械	41
城	2657
13	5676
19	3902
21	3877
A8	72
西部	423
物流	1529
信息中心	5
301	8646
愉盛	15
工业园	3748
A4	352
314	337
502	6287
617	213
703	3450
707	964
719	129
仁	3
生利	3
工业区	10360
1	62669
宿舍楼	5992
117	622
原海荣源	1
办公楼	1014
201	9616
上	1894
南段	15
康	124
达尔	124
饲料	4
（	5056
4	21802
）	5038
整套	3774
南浦	46
路	83443
左	95
栋前	54
集装箱	68
南路	23250
段康	3
3	33959
104	5900
105	3817
有限公司	971
警犬	4
基地	391
304	4441
西乡	416
段	897
450	34
466	17
商住楼	867
204	4641
467	25
B	17435
层	7586
470	50
102	9939
106	3375
兴农	24
夹板	29
市场	1395
B8	133
2102	279
213	785
215	428
275	60
316	748
321	293
366	46
406	2214
407	1370
417	247
544	13
546	21
558	29
565	34
591	11
592	7
A1	1028
旁	2469
110	1322
千伏	2
丹荷	1
变电站	44
114	952
区	8429
宝安	12022
公园	822
一整套	61
区瓦窑	15
花园	47048
北	924
三巷	3217
一巷	3575
9	12501
11	7959
区广	14
深路	15
206	2682
319	876
5	17595
308	1267
新安	1805
A	17377
.	1422
B座	10383
A219	6
B304	74
、	42971
B208	28
B209	20
B307	25
A213	9
B308	31
B404	70
新乐	87
二街	1784
48	3638
新佳	1
旅馆	38
505	2754
127	503
陈设	5
艺术	86
产业园	206
B801	69
A608	18
A706	31
B701	109
12	7437
区宝路华	3
运输	19
A座	10190
313	589
D座	1103
公路局	246
404	4295
601	6042
604	3728
306	2382
704	2931
区华程	6
楼	7815
311	591
203	5792
303	5488
C	7729
交通局	2
801	2532
区通发	1
C座	3214
710	471
138	567
共乐	117
202	7749
永乐	25
17	5066
露天剧场	1
平房	1643
配电房	168
187	177
右边	65
工棚	545
188	589
光华	203
小区	12219
第	1624
第一	1195
217	399
189	354
吉	42
康路	168
28	4289
209	1030
商品	42
街	10822
113	890
119	499
126	844
214	500
222	270
232	221
344	34
A301	141
B301	160
B312	8
B320	6
C309	7
C318	5
C378	1
315	1195
31	2762
221	987
318	584
327	115
35	1904
003	87
235	202
14	4492
401	7827
15	6486
16	5932
A402	103
A403	98
B1301	31
B1401	21
B1402	18
B2202	16
B2205	16
B2208	9
B2401	12
B2403	13
B2600	1
B2601	17
B2602	15
B2604	11
B2606	13
B2608	10
C502	43
C503	30
二路	4677
商铺	497
157	282
159	258
161	397
163	342
20	5021
22	3551
23	4507
402	6836
29	4198
603	4461
30	2994
607	1213
A101	97
A102	97
A103	61
A104	49
A105	28
A106	28
A201	135
A202	111
A203	84
A204	62
A302	114
A303	99
A304	58
A401	132
A404	55
A501	116
A502	113
A503	88
A504	56
A601	112
A602	95
A603	92
A604	53
A701	99
A702	85
A703	68
A704	56
B101	117
B102	95
B103	75
B104	52
B105	38
B106	30
B201	161
B202	125
B203	93
B204	65
B302	140
B303	105
B401	155
B402	122
B403	105
B501	139
B502	120
B503	109
B508	32
B601	117
B602	121
B604	64
B702	98
B703	77
B704	54
403	5259
501	6895
504	4075
701	4820
702	4246
栋灵	9
新	4034
10	11910
7	13462
49	1488
205	3085
305	2801
405	2835
506	2154
605	2414
灵芝	13
79	1014
81	852
83	1073
85	725
87	883
89	1960
93	612
95	448
97	582
99	1034
73	1042
75	1050
岗	2659
对面	489
二排	214
8	13797
18	4815
教学楼	277
二层	1368
三层	769
